id,experiment_id,is_map,image_url,commons_url,map_ne_lng,map_sw_lng,map_ne_lat,map_sw_lat,map_annotations_count,label,avg_rank,new feature,median_rank,rank_var,avg_normalized_rank,normalized_rank_var,avg_validation_question_correct,avg_rank_validated,rank_validated_var,avg_normalized_rank_validated,normalized_rank_validated_var,generation_method,generation_score,article_title_2_text_esa,caption_2_text_esa,locations_2_article_text_esa,max_locations_2_article_text_esa,avg_locations_2_article_text_esa,median_locations_2_article_text_esa,max_article_title_2_article_text_esa,avg_article_title_2_article_text_esa,median_article_title_2_article_text_esa
26,26-9,0,https://upload.wikimedia.org/wikipedia/commons/f/f9/Countries_by_Oil_Production_in_2013.svg,https://commons.wikimedia.org/wiki/File:Countries_by_Oil_Production_in_2013.svg,,,,,,1,2.5,0,2.5,0.25,0.833333333,0.027777778,0.75,2.666666667,0.222222222,2.666666667,0.222222222,all,0.815384557,0.990170972,0.993436291,,,,,0.990516855,0.974205443,0.990170972
33,33-9,0,https://upload.wikimedia.org/wikipedia/commons/0/02/US_LGBT_housing_discrimination.svg,https://commons.wikimedia.org/wiki/File:US_LGBT_housing_discrimination.svg,,,,,,1,2.25,0,2,0.1875,0.75,0.020833333,1,2.25,0.1875,2.25,0.1875,all,0.71463189,0.986285574,0.994953604,,,,,0.986285574,0.979935565,0.976852537
21,21-14,0,https://upload.wikimedia.org/wikipedia/commons/1/11/2011_Drug_Harms_Rankings.svg,https://commons.wikimedia.org/wiki/File:2011_Drug_Harms_Rankings.svg,,,,,,1,2.25,0,2,0.1875,0.75,0.020833333,1,2.25,0.1875,2.25,0.1875,all,0.140256173,0.924981133,0.974310269,,,,,,,
21,21-15,0,https://upload.wikimedia.org/wikipedia/commons/e/ef/Bodily_effects_of_cannabis.svg,https://commons.wikimedia.org/wiki/File:Bodily_effects_of_cannabis.svg,,,,,,1,2.25,0,2.5,0.6875,0.75,0.076388889,1,2.25,0.6875,2.25,0.6875,all,0.140256173,0.924981133,0.913901599,,,,,0.924981133,0.924981133,0.924981133
22,22-7,0,https://upload.wikimedia.org/wikipedia/commons/e/ee/ACA_health_insurance_exchanges_by_state.svg,https://commons.wikimedia.org/wiki/File:ACA_health_insurance_exchanges_by_state.svg,,,,,,1,2,0,2,1,0.666666667,0.111111111,0.75,1.666666667,0.888888889,1.666666667,0.888888889,all,0.371692734,0.978913393,0.986802231,,,,,0.978913393,0.843261032,0.978726044
33,33-6,0,https://upload.wikimedia.org/wikipedia/commons/8/84/Birth_certificate_sex_altering_regulations_in_the_US.svg,https://commons.wikimedia.org/wiki/File:Birth_certificate_sex_altering_regulations_in_the_US.svg,,,,,,1,2,0,2,0.5,0.666666667,0.055555556,1,2,0.5,2,0.5,all,0.71463189,0.986285574,0.976555244,,,,,0.986285574,0.986285574,0.986285574
15,15-0,0,https://upload.wikimedia.org/wikipedia/commons/a/a1/United_States_Health_Gross_Care_Expenditures_%281960_to_2008%29.png,https://commons.wikimedia.org/wiki/File:United_States_Health_Gross_Care_Expenditures_%281960_to_2008%29.png,,,,,,1,2.75,0,3,0.1875,0.916666667,0.020833333,1,2.75,0.1875,2.75,0.1875,all,0.791340784,0.950094569,0.986979777,,,,,,,
35,35-7,0,https://upload.wikimedia.org/wikipedia/commons/6/63/Pornography_laws.svg,https://commons.wikimedia.org/wiki/File:Pornography_laws.svg,,,,,,1,2.5,0,3,0.75,0.833333333,0.083333333,1,2.5,0.75,2.5,0.75,all,0.243985282,0.909180666,0.933099201,,,,,0.909180666,0.891324357,0.882866862
26,26-39,0,https://upload.wikimedia.org/wikipedia/commons/0/0a/Opecrev.gif,https://commons.wikimedia.org/wiki/File:Opecrev.gif,,,,,,1,2,0,2.5,1.5,0.666666667,0.166666667,0.75,2,2,2,2,all,0.608128006,0.994776642,0.99524963,,,,,0.994776642,0.942277171,0.989516269
15,15-1,0,https://upload.wikimedia.org/wikipedia/commons/b/b3/Medicare_and_Medicaid_GDP_Chart.png,https://commons.wikimedia.org/wiki/File:Medicare_and_Medicaid_GDP_Chart.png,,,,,,1,2,0,2,0.5,0.666666667,0.055555556,1,2,0.5,2,0.5,all,0.626705354,0.915977749,0.992938218,,,,,0.977937289,0.958926008,0.970894497
